post_Date;count_Posts
2020-01-26;5
2020-01-25;5
2020-01-24;20
2020-01-23;19
2020-01-22;20
2020-01-21;17
2020-01-20;20
2020-01-19;5
2020-01-18;5
2020-01-17;20
2020-01-16;20
2020-01-15;20
2020-01-14;20
2020-01-13;20
2020-01-12;5
2020-01-11;5
2020-01-10;20
2020-01-09;20
2020-01-08;10
2020-01-07;9
2020-01-06;9
2020-01-05;5
2020-01-04;5
2020-01-03;5
2020-01-02;5
2020-01-01;5
2019-12-31;20
2019-12-30;19
2019-12-29;5
2019-12-28;5
2019-12-27;20
2019-12-26;20
2019-12-25;19
2019-12-24;20
2019-12-23;20
2019-12-22;5
2019-12-21;5
2019-12-20;19
2019-12-19;20
2019-12-18;20
2019-12-17;20
2019-12-16;19
2019-12-15;5
2019-12-14;5
2019-12-13;20
2019-12-12;19
2019-12-11;20
2019-12-10;19
2019-12-09;20
2019-12-08;5
2019-12-07;5
2019-12-06;20
2019-12-05;20
2019-12-04;20
2019-12-03;20
2019-12-02;19
2019-12-01;4
2019-11-30;5
2019-11-29;18
2019-11-28;20
2019-11-27;20
2019-11-26;19
2019-11-25;19
2019-11-24;4
2019-11-23;5
2019-11-22;20
2019-11-21;20
2019-11-20;18
2019-11-19;20
2019-11-18;19
2019-11-17;5
2019-11-16;5
2019-11-15;19
2019-11-14;20
2019-11-13;20
2019-11-12;19
2019-11-11;20
2019-11-10;5
2019-11-09;5
2019-11-08;20
2019-11-07;20
2019-11-06;20
2019-11-05;20
2019-11-04;5
2019-11-03;5
2019-11-02;4
2019-11-01;11
